controller,dropout,seed,success_rate
Frozen SNN,0.3,6000,0.1000
Frozen SNN,0.3,6001,0.1333
Frozen SNN,0.3,6002,0.0667
Frozen SNN,0.3,6003,0.1000
Frozen SNN,0.3,6004,0.1000
Frozen SNN,0.3,6005,0.1000
Frozen SNN,0.3,6006,0.1667
Frozen SNN,0.3,6007,0.1000
Frozen SNN,0.3,6008,0.1000
Frozen SNN,0.3,6009,0.1333
R-STDP SNN,0.3,6000,0.1000
R-STDP SNN,0.3,6001,0.0667
R-STDP SNN,0.3,6002,0.0667
R-STDP SNN,0.3,6003,0.1333
R-STDP SNN,0.3,6004,0.0667
R-STDP SNN,0.3,6005,0.1000
R-STDP SNN,0.3,6006,0.0667
R-STDP SNN,0.3,6007,0.1667
R-STDP SNN,0.3,6008,0.0333
R-STDP SNN,0.3,6009,0.0667
e-prop SNN,0.3,6000,0.1333
e-prop SNN,0.3,6001,0.0333
e-prop SNN,0.3,6002,0.0333
e-prop SNN,0.3,6003,0.0667
e-prop SNN,0.3,6004,0.1667
e-prop SNN,0.3,6005,0.2333
e-prop SNN,0.3,6006,0.0667
e-prop SNN,0.3,6007,0.2333
e-prop SNN,0.3,6008,0.0333
e-prop SNN,0.3,6009,0.1333
Frozen SNN,0.2,6000,0.2000
Frozen SNN,0.2,6001,0.1333
Frozen SNN,0.2,6002,0.0667
Frozen SNN,0.2,6003,0.2667
Frozen SNN,0.2,6004,0.3333
Frozen SNN,0.2,6005,0.2667
Frozen SNN,0.2,6006,0.2000
Frozen SNN,0.2,6007,0.2667
Frozen SNN,0.2,6008,0.2000
Frozen SNN,0.2,6009,0.2000
R-STDP SNN,0.2,6000,0.2333
R-STDP SNN,0.2,6001,0.2000
R-STDP SNN,0.2,6002,0.1667
R-STDP SNN,0.2,6003,0.1667
R-STDP SNN,0.2,6004,0.1667
R-STDP SNN,0.2,6005,0.1667
R-STDP SNN,0.2,6006,0.3333
R-STDP SNN,0.2,6007,0.2000
R-STDP SNN,0.2,6008,0.1333
R-STDP SNN,0.2,6009,0.1667
e-prop SNN,0.2,6000,0.3333
e-prop SNN,0.2,6001,0.2333
e-prop SNN,0.2,6002,0.1333
e-prop SNN,0.2,6003,0.2000
e-prop SNN,0.2,6004,0.2667
e-prop SNN,0.2,6005,0.4333
e-prop SNN,0.2,6006,0.3333
e-prop SNN,0.2,6007,0.4333
e-prop SNN,0.2,6008,0.2333
e-prop SNN,0.2,6009,0.2667
